billName,longTitle,Bill #,session,subjects,primeSponsors,committees,summary,approved,effective,vetoed
Certified Community Behavioral Health Clinics,Concerning applying for federal grants related to certified community behavioral health clinics.,HB24-1384,2024 Regular Session,"['Subject:', 'Health Care & Health Insurance']","['Shannon Bird', 'Emily Sirota', 'Rachel Zenzinger', 'Barbara Kirkmeyer']","{'House': ['Health & Human Services'], 'Senate': ['Health & Human Services']}","No later than February 1, 2025, the act requires the department of health care policy and financing (HCPF), in collaboration with the behavioral health administration in the department of human services (BHA), to: Submit an application to the federal substance abuse and mental health services administration (SAMHSA) for a certified community behavioral health clinic demonstration planning grant (grant); and Submit a report to the joint budget committee on the status of the grant application. The act requires HCPF and the BHA to work with the joint budget committee to determine how to proceed with the grant if, during the grant application process, there are substantial changes to federal funding that would negatively affect the state of Colorado. If HCPF is awarded the grant, the act requires HCPF to comply with all necessary guidelines established by SAMHSA for a certified community behavioral health clinic grant awardee. ","June 7, 2024","June 7, 2024",False
Eliminate Premium Tax to Health Insurance Affordability Fund,Concerning the elimination of the allocation of a portion of premium tax revenues to the health insurance affordability cash fund.,HB24-1470,2024 Regular Session,"['Fiscal Policy & Taxes', 'Health Care & Health Insurance']","['Shannon Bird', 'Rick Taggart', 'Rachel Zenzinger', 'Barbara Kirkmeyer']","{'House': ['Appropriations'], 'Senate': ['Appropriations']}","Starting in the 2023-24 state fiscal year, the act discontinues the allocation of a portion of premium tax revenues to the health insurance affordability cash fund. ","June 7, 2024","June 7, 2024",False
Oral Health Screening in Schools Pilot Program,"Concerning oral health screening in public schools, and, in connection therewith, making an appropriation.",SB24-142,2024 Regular Session,"['Education & School Finance (Pre & K-12)', 'Health Care & Health Insurance', 'Public Health']","['Janice Marchman', 'Barbara Kirkmeyer', 'Shannon Bird', 'Anthony Hartsook']","{'House': ['Health & Human Services', 'Appropriations'], 'Senate': ['Health & Human Services', 'Appropriations']}","The act amends the Colorado oral health community grants program administered by the department of public health and environment (department) to award grants for the implementation of oral health screening in public schools through the oral health screening pilot program (pilot program) created in the act. The purpose of the pilot program is to provide oral health screening to students in kindergarten and third grade at a minimum of 5 pilot program sites at school districts or schools of a school district, charter schools, institute charter schools, or boards of cooperative services (local education providers) to demonstrate the effectiveness of oral health screening in kindergarten and third grade in reducing dental decay, the costs of providing oral health screening to students, and best practices for providing oral health screening that could be scaled statewide. The department shall award at least 5 oral health screening grants to oral health screeners to conduct oral health screening activities in schools of local education providers. In selecting screening locations, the department shall select locations that represent a variety of school settings, including large and small local education providers in urban, rural, and frontier areas of the state, with priority given to schools with students who are likely to experience higher rates of undetected oral health concerns. The act includes requirements for the pilot program regarding: Qualifications for participating oral health screeners; The oral health screening; The selection by the department of an oral health screening tool; Notice to parents and legal guardians (parents), including the ability of parents to refuse oral health screening for their children; Reporting to parents about the outcome of the oral health screening and information and referral if dental concerns are identified for a student; and The protection of confidential health data. After completing oral health screening at a pilot program site during the 2024-25 and 2025-26 school years, no later than July 31, 2025, and July 31, 2026, respectively, a participating oral health screener shall provide data and information to the department for purposes of evaluating the effectiveness of the pilot program, including the number of students screened and oral health concerns identified, as well as other relevant data and information as determined by the department. On or before December 1, 2027, the department of education shall develop a plan for implementation of oral health screening in kindergarten and third grade in all public schools. No later than January 15, 2027, the department shall submit a report of the findings concerning the pilot program and its plan for implementation of oral health screening in all public schools to the health and human services and education committees of the house of representatives and of the senate, or their successor committees, and the department of education. The pilot program repeals July 1, 2031, after the screening and reporting on the pilot program is completed. For the 2024-25 state fiscal year, $84,425 is appropriated from the general fund to the department for use by the prevention services division to implement the pilot program. ","June 7, 2024","June 7, 2024",False
Out-of-State Telehealth Providers,Concerning out-of-state health-care workers providing health-care services through telehealth to patients located in Colorado.,SB24-141,2024 Regular Session,"['Health Care & Health Insurance', 'Professions & Occupations']","['Kevin Van Winkle', 'Dafna Michaelson Jenet', 'Mary Bradfield', 'Manny Rutinel']","{'House': ['Finance', 'Appropriations'], 'Senate': ['Health & Human Services', 'Finance', 'Appropriations']}","The act allows a health-care provider (applicant) who possesses a license, certificate, registration, or other approval as a health-care provider in another state (out-of-state credential) to provide health-care services through telehealth to patients located in Colorado if the applicant registers with the regulator that regulates the health-care services the applicant will provide (regulator). An applicant is eligible for registration if: The applicant submits an application in a manner prescribed by the division of professions and occupations (division) in the department of regulatory agencies (department) and pays the applicable fee; The applicant possesses an out-of-state credential issued by a governmental authority in another state, the District of Columbia, or a possession or territory of the United States that is active and unencumbered, that has educational and supervisory standards equivalent to or exceeding the educational and supervisory standards required for the equivalent credential in this state or the interstate compacft license for the applicable credential type, and that entitles the applicant to perform health-care services that are substantially similar to health-care services that may be performed by a licensee, certificate holder, or registrant in this state; The applicant designates an agent upon whom service of process may be made in Colorado; The applicant has not been subject to any disciplinary action relating to the applicant's out-of-state credential during the 5-year period immediately preceding the submission of the applicant's application that has resulted in the applicant's out-of-state credential being limited, suspended, or revoked, unless the disciplinary action pertains to an action, behavior, or treatment permitted under Colorado law; and The applicant demonstrates passage of a jurisprudence examination administered by the division if passage of a jurisprudence examination is required for substantially similar credentialing in this state. An applicant who has been registered to provide health-care services through telehealth to patients located in Colorado (registered provider) shall: Provide health-care services in compliance with the professional practice standards for health-care services in this state; In the event of an emergency situation, make a good faith effort to contact and coordinate with emergency services located near the originating site, or facilitate contact with the appropriate local mental and behavioral health services, and remain on a synchronous connection with the patient, if the emergency arises during a synchronous connection, until emergency services have reached the originating site or the situation is resolved in the registered provider's clinical judgment; Maintain a written emergency protocol that is appropriate to the applicable standard of care for Colorado; Notify the applicable regulator of restrictions placed on the registered provider's out-of-state credential in any state or jurisdiction or of any disciplinary action taken or pending against the registered provider in any state or jurisdiction; Maintain and have in effect a form of financial responsibility that covers services provided to patients in this state as required by the applicable regulator; Disclose to the patient that the registered provider does not have a physical location in Colorado and disclose the location of the registered provider; and Not open an office in this state and shall not provide in-person health-care services to patients located in this state unless the health-care provider obtains the license, certification, or registration that the applicable regulator requires for the performance of the relevant health-care services in this state. The act also allows the division or the regulator to take disciplinary action against a registered provider under specified conditions. The department may notify other states in which the registered provider is licensed, registered, or certified to practice of any disciplinary actions taken against the registered provider in this state. A registered provider is prohibited from prescribing a controlled substance. ","June 7, 2024","June 7, 2024",False
Bilingual Child Care Licensing Resources,"Concerning requiring the department of early childhood to provide child care licensing resources in prevalent languages, and, in connection therewith, making an appropriation.",HB24-1009,2024 Regular Session,"['Children & Domestic Matters', 'Health Care & Health Insurance', 'Human Services']","['Junie Joseph', 'Barbara McLachlan', 'Joann Ginal', 'Janice Rich']","{'House': ['Education', 'Appropriations'], 'Senate': ['Education', 'Appropriations']}","The act requires the department of early childhood (department) to provide education and information in plain language and in prevalent languages to help individuals complete the paperwork required to meet child care licensing compliance requirements. Prevalent languages is defined as the 2 most prevalent languages spoken in Colorado. The department is required to provide services in prevalent languages to individuals seeking to open or otherwise participate in the operation of an early childhood program or facility licensed by the department. The act creates the bilingual licensing unit in the department to help the department satisfy its duties to provide education, information, and services in prevalent languages and requires the general assembly to appropriate $235,000 from the general fund to the department for the 2024-25 state fiscal year and for each state fiscal year thereafter to pay the costs of the bilingual licensing unit's activities. The act also requires the general assembly to appropriate $45,000 from the general fund to the department for the 2024-25 state fiscal year to pay costs associated with updating the department's mobile licensing application. ","June 6, 2024","June 6, 2024",False
Eating Disorder Treatment & Recovery Programs,"Concerning protections for individuals with an eating disorder, and, in connection therewith, requiring an eating disorder treatment and recovery facility to hold an appropriate designation and requiring the behavioral health administration to regulate the use of involuntary feeding tubes.",SB24-117,2024 Regular Session,"['Subject:', 'Health Care & Health Insurance']","['Lisa Cutter', 'Faith Winter', 'Chris deGruy Kennedy']","{'House': ['Health & Human Services', 'Appropriations'], 'Senate': ['Health & Human Services', 'Appropriations']}","No later than January 1, 2026, the act requires the behavioral health administration (BHA) to require all eating disorder treatment and recovery facilities (treatment facility) to hold an appropriate designation based on the level of care the treatment facility provides. Licensed clinicians who are not facility-based and offer behavioral health therapy on an outpatient basis are not required to hold a designation. The act directs the state board of human services to promulgate rules for treatment facilities and requires the BHA to promulgate rules concerning involuntary feeding tubes for individuals with an eating disorder. ","June 6, 2024","June 6, 2024",False
High-Acuity Crisis for Children & Youth,"Concerning addressing the high-acuity crisis for children and youth in need of residential care, and, in connection therewith, making an appropriation.",HB24-1038,2024 Regular Session,"['Health Care & Health Insurance', 'Human Services']","['Mary Young', 'Brandi Bradley', 'Barbara Kirkmeyer', 'Rhonda Fields']","{'House': ['Health & Human Services', 'Appropriations'], 'Senate': ['Health & Human Services', 'Appropriations']}","The act requires the department of health care policy and financing (HCPF), in collaboration with the behavioral health administration (BHA) and the department of human services (CDHS), to develop a system of care (system of care) for children and youth who are less than 21 years of age and who have complex behavioral health needs. At a minimum, the system of care must include: Implementation of a standardized assessment tool; Intensive-care coordination; Expanded supportive services; and Expanded access to treatment foster care. The act requires HCPF to convene a leadership team that is responsible for the decision-making and oversight of the system of care and to convene an implementation team to create a plan to implement the system of care. The act requires CDHS and HCPF to report progress on the development and implementation of the system of care to the general assembly. The act creates the residential child care provider training academy in CDHS to create a pipeline of high-quality staff for residential child care providers and ensure that individuals hired to work at residential child care facilities receive the necessary training to perform the individual's job functions responsibly and effectively. The act requires CDHS to expand the number of treatment beds available for children and youth whose behavioral or mental health needs require services and treatment in a residential child care facility. The act requires CDHS to develop a system to establish and monitor quality standards for residential child care providers and ensure the quality standards are implemented into all levels of care that serve children and youth in out-of-home placement. The act requires CDHS to develop a system to incentivize residential child care providers to implement quality standards above CDHS' established minimum standards. The act requires CDHS to make publicly available on the department's website a directory of each residential child care provider's quality assurance. The CDHS program that provides emergency resources to certain licensed providers to help remove barriers the providers face in serving children and youth whose behavioral or mental health needs require services and treatment in a residential child care facility currently repeals on July 1, 2028. The act extends the program indefinitely and requires CDHS to contract with additional licensed providers for the delivery of services to children and youth who are eligible for and placed in the program. The act requires CDHS and the BHA to increase the minimum reimbursement rates paid to qualified residential treatment programs for the purpose of aligning room and board payments across payer sources. The act requires HCPF to contract with a third-party vendor to complete an actuarial analysis in order to determine the appropriate medicaid reimbursement rate for psychiatric residential treatment facilities. The act requires CDHS to contract with one or more third-party vendors to implement a pilot program to assess the needs of, and provide short-term residential services for, juvenile justice-involved youth who do not meet the criteria for detention. For the 2024-25 state fiscal year, the act appropriates money to the department of human services and the department of health care policy and financing to implement the act. ","June 6, 2024","June 6, 2024",False
Licensure of Critical Access Hospitals,"Concerning the creation of a separate health facility license for critical access hospitals, and, in connection therewith, making an appropriation.",SB24-121,2024 Regular Session,"['Subject:', 'Health Care & Health Insurance']","['Rod Pelton', 'Dylan Roberts', 'Mary Young', 'Richard Holtorf']","{'House': ['Health & Human Services', 'Appropriations'], 'Senate': ['Health & Human Services', 'Appropriations']}","Currently, critical access hospitals must be licensed as general hospitals under state law. The act: Authorizes the department of public health and environment (department) to license critical access hospitals separately from general hospitals; On and after July 1, 2026, prohibits a person from operating a critical access hospital without a critical access hospital license; and Requires the state board of health to promulgate rules concerning the licensure of critical access hospitals. The act appropriates $45,722 from the general fund to the department for administration and operations management. From that appropriation, $12,285 is reappropriated to the office of the governor for use by the office of information technology to provide services to the department. ","June 6, 2024","July 1, 2026",False
Prevention of Substance Use Disorders,"Concerning the prevention of substance use disorders, and, in connection therewith, making an appropriation.",SB24-047,2024 Regular Session,"['Health Care & Health Insurance', 'Higher Education', 'Professions & Occupations', 'Public Health']","['Sonya Jaquez Lewis', 'Kevin Priola', 'Mary Young', 'Elisabeth Epps']","{'House': ['Health & Human Services', 'Appropriations'], 'Senate': ['Health & Human Services', 'Finance', 'Appropriations']}","The act: Exempts veterinarians from complying with specific aspects of the prescription drug use monitoring program (program) that are specific to prescriptions for human patients; Allows the medical director of a medical practice or hospital, including a nurse medical director, to appoint designees to query the program on behalf of a practitioner in the medical practice or hospital setting; Allows the department of health care policy and financing (department) to access the program, consistent with federal data privacy requirements, for purposes of care coordination, utilization review, and federally required reporting relating to recipients of certain benefits; and Updates current language in the laws relating to the program by using more modern terminology. A county or district public health agency may establish a multidisciplinary and multiagency overdose fatality review team (local team). The act prescribes membership requirements, purposes, and duties for local teams, including a duty to report annually to the county or district public health agency served by the local team. The act requires certain entities, upon receiving a written request of the chair of a local team, to provide the local team with information and records regarding a person whose death or near death is being reviewed by the local team. Unless the chair of the local team grants an extension of time, the entity must provide the local team the requested information and records within 10 business days after receipt of the request. A person or entity that receives a records request from a local team may charge the local team a reasonable fee for the service of duplicating any records requested. A person or entity, including a local or state agency, that provides information or records to a local team is not subject to civil or criminal liability or any professional disciplinary action pursuant to state law as a result of providing the information or record. Upon request of a local team, a person who is not a member of a local team may attend and participate in a meeting at which a local team reviews confidential information and considers a plan, an intervention, or other course of conduct based on that review. The act requires each person at a local team meeting to sign a confidentiality form before reviewing information and records received by the local team. Local team meetings in which confidential information is discussed are exempt from the open meetings provisions of the ""Colorado Sunshine Act of 1972"". A local team shall maintain the confidentiality of information provided to the local team as required by state and federal law, and information and records acquired or created by a local team are not subject to inspection pursuant to the ""Colorado Open Records Act"". Local team members and a person who presents or provides information to a local team may not be questioned in any civil or criminal proceeding or disciplinary action regarding the information presented or provided. Law enforcement may not use information from any overdose fatality review for any law enforcement purpose. The department is required to publish guidance for providers concerning reimbursement for all variations of screening, brief intervention, and referral to treatment interventions. The act requires the existing substance use screening, brief intervention, and referral to treatment grant program in the department to require implementation of: A statewide adolescent substance use screening, brief intervention, and referral practice that includes training and technical assistance for appropriate professionals in Colorado schools, with the purpose of identifying students who would benefit from screening, brief intervention, and potential referral to resources, including treatment; and A statewide substance use screening, brief intervention, and referral practice that includes training and technical assistance for pediatricians and professionals in pediatric settings, with the purpose of identifying adolescent patients who would benefit from screening, brief intervention, and potential referral to resources, including treatment. Current law authorizes the center for research into substance use disorder prevention, treatment, and recovery support strategies (center) to conduct a statewide perinatal substance use data linkage project (data linkage project) that uses ongoing collection, analysis, interpretation, and dissemination of data for the planning, implementation, and evaluation of public health actions to improve outcomes for families impacted by substance use during pregnancy. The act: Requires the center to conduct the data linkage project; Requires the data linkage project to utilize data from additional state and federal programs; and Expands the data linkage project to examine the education of pregnant and postpartum women with substance use disorders. For the 2024-25 state fiscal year, the act appropriates: $75,000 from the general fund to the executive director of the department for general professional services and special projects; this appropriation is based on the assumption that the department will receive $75,000 in federal funds for these services; and $250,000 from the general fund to the department of higher education for use by the Colorado commission on higher education and higher education special purpose programs. ","June 6, 2024","June 6, 2024",False
Substance Use Disorders Harm Reduction,Concerning reducing the harm caused by substance use disorders.,HB24-1037,2024 Regular Session,"['Subject:', 'Health Care & Health Insurance']","['Elisabeth Epps', 'Chris deGruy Kennedy', 'Kevin Priola']","{'House': ['Health & Human Services'], 'Senate': ['Health & Human Services']}","The act excludes injuries involving the possession of drugs or drug paraphernalia from a physician's mandatory reporting requirements. The act also adds an exemption to the prohibition on possessing drug paraphernalia for possession of drug paraphernalia that a person received from an approved syringe exchange program or a program carried out by a harm reduction organization while the person was participating in the program. With respect to opioid antagonists, the act: Clarifies that the civil and criminal immunity that protects a person who acts in good faith to furnish or administer an opioid antagonist also protects a person who distributes the opioid antagonist; Specifies that the mere presence of an opioid antagonist is insufficient to establish probable cause to perform a warrantless search or seizure; and Updates the term ""opiate antagonist"" to ""opioid antagonist"" in current law. The act specifies that money appropriated to the department of public health and environment to purchase non-laboratory synthetic opioid detection tests may also be used to purchase other drug testing equipment. The act authorizes an organization operating a clean syringe exchange program to: Purchase and distribute other supplies and tools intended to reduce health risks associated with the use of drugs, including smoking materials; and Provide drug testing services through the program. ","June 6, 2024","June 6, 2024",False
