Lobbyist,Client,Position,Start date,End date,Bill #,Subject
"Ward, Taylor Blake",Colorado Department of Public Health and Environment,,01/01/2024,08/12/2024,HB24-1106,Require Information about Abortion Pill Reversal
"Robinson, Anaya D",ACLU of Colorado,Opposing,03/04/2024,06/30/2024,HB24-1106,Require Information about Abortion Pill Reversal
"Morse Public Affairs, LLC",Adams County Health Department,Opposing,02/12/2024,06/30/2024,HB24-1106,Require Information about Abortion Pill Reversal
"Ruddock, Michael J",Adams County Health Department,Opposing,02/12/2024,06/30/2024,HB24-1106,Require Information about Abortion Pill Reversal
"MANDARICH, MARY ALICE",COBALT,Opposing,02/14/2024,06/30/2024,HB24-1106,Require Information about Abortion Pill Reversal
"Peper, Dylan",Cobalt -- Mary Alice Mandarich,Opposing,02/29/2024,06/30/2024,HB24-1106,Require Information about Abortion Pill Reversal
"Biehle, Ryan",Colorado Academy of Family Physicians,Opposing,02/05/2024,06/30/2024,HB24-1106,Require Information about Abortion Pill Reversal
Emma Hudson Consulting LLC,Colorado Academy of Family Physicians,Opposing,02/02/2024,06/30/2024,HB24-1106,Require Information about Abortion Pill Reversal
"Novel Strategies, LLC",Colorado Academy of Family Physicians,Opposing,02/01/2024,06/30/2024,HB24-1106,Require Information about Abortion Pill Reversal
"Server, Matthew Kenneth",Colorado Catholic Conference,Supporting,01/30/2024,06/30/2024,HB24-1106,Require Information about Abortion Pill Reversal
"Vessely, Brittany Lena",Colorado Catholic Conference,Supporting,01/30/2024,06/30/2024,HB24-1106,Require Information about Abortion Pill Reversal
Cherry Point Strategies,Colorado Chapter College of Emergency Physicans,Monitoring,02/11/2024,06/30/2024,HB24-1106,Require Information about Abortion Pill Reversal
Cherry Point Strategies,Colorado Medical Society,Monitoring,02/11/2024,06/30/2024,HB24-1106,Require Information about Abortion Pill Reversal
Capitol Success Group,Colorado Nurses Association,Opposing,02/28/2024,06/30/2024,HB24-1106,Require Information about Abortion Pill Reversal
Capitol Success Group,Colorado Nurses Association,Opposing,02/28/2024,06/30/2024,HB24-1106,Require Information about Abortion Pill Reversal
"Romero, Alec T",Colorado Nurses Association,Opposing,02/28/2024,06/30/2024,HB24-1106,Require Information about Abortion Pill Reversal
"Romero, Ryan E",Colorado Nurses Association,Opposing,02/29/2024,06/30/2024,HB24-1106,Require Information about Abortion Pill Reversal
"MANDARICH, MARY ALICE",Colorado Organization for Latina Opportunity and Reproductive Rights (COLOR),Opposing,02/17/2024,06/30/2024,HB24-1106,Require Information about Abortion Pill Reversal
"Peper, Dylan",Colorado Organization for Latina Opportunity and Reproductive Rights (COLOR) -- Mary Alice Mandarich,Opposing,02/29/2024,06/30/2024,HB24-1106,Require Information about Abortion Pill Reversal
"Gall, Amanda Leigh",Colorado Women's Bar Association,Opposing,02/28/2024,06/30/2024,HB24-1106,Require Information about Abortion Pill Reversal
"Hodge, Adeline Elisabeth",Colorado Women's Bar Association,Opposing,02/28/2024,06/30/2024,HB24-1106,Require Information about Abortion Pill Reversal
Meridian Public Affairs LLC,Colorado Women's Bar Association,Opposing,02/28/2024,06/30/2024,HB24-1106,Require Information about Abortion Pill Reversal
Emma Hudson Consulting LLC,Interfaith Alliance,Opposing,04/05/2024,06/30/2024,HB24-1106,Require Information about Abortion Pill Reversal
"Wilkins, Andrea Kay",League of Women Voters of Colorado,Opposing,02/02/2024,06/30/2024,HB24-1106,Require Information about Abortion Pill Reversal
"Mendez, Barkis and Associates",Planned Parenthood of the Rocky Mountains,Opposing,01/30/2024,06/30/2024,HB24-1106,Require Information about Abortion Pill Reversal
"Perez, Claudia Nicole",Planned Parenthood of the Rocky Mountains,Opposing,02/01/2024,06/30/2024,HB24-1106,Require Information about Abortion Pill Reversal
"Pitlik, Amy",Planned Parenthood of the Rocky Mountains,Opposing,01/30/2024,06/30/2024,HB24-1106,Require Information about Abortion Pill Reversal
"Berwick, Natasha",New Era Colorado,Opposing,02/28/2024,06/04/2024,HB24-1106,Require Information about Abortion Pill Reversal
"Newell, Kiyana Michelle",New Era Colorado,Opposing,02/28/2024,06/04/2024,HB24-1106,Require Information about Abortion Pill Reversal
"Raemdonck, Dieter",Colorado Catholic Conference,Supporting,02/16/2024,05/09/2024,HB24-1106,Require Information about Abortion Pill Reversal
"Recht Kornfeld, P.C.",Colorado Catholic Conference,Supporting,02/16/2024,05/09/2024,HB24-1106,Require Information about Abortion Pill Reversal
"Rogers, Thomas M",Colorado Catholic Conference,Supporting,02/16/2024,05/09/2024,HB24-1106,Require Information about Abortion Pill Reversal
"Richard G Brown Enterprises, Inc.",COLORADO OBSTETRICAL AND GYNECOLOGICAL SOCIETY,Opposing,01/31/2024,03/29/2024,HB24-1106,Require Information about Abortion Pill Reversal
"Pike, Erica",Colorado Academy of Family Physicians,Opposing,02/01/2024,03/08/2024,HB24-1106,Require Information about Abortion Pill Reversal
"Hatton, Kiera",Cobalt,Opposing,03/04/2024,03/05/2024,HB24-1106,Require Information about Abortion Pill Reversal
"Siegel Long Public Affairs, LLC",New Era,Opposing,02/01/2024,03/05/2024,HB24-1106,Require Information about Abortion Pill Reversal
"Siegel Long Public Affairs, LLC",Voces Unidas Action Fund,Opposing,02/01/2024,03/05/2024,HB24-1106,Require Information about Abortion Pill Reversal
"Aponte Public Affairs, Inc.",American Academy of Pediatrics ( AAP),Monitoring,01/31/2024,02/29/2024,HB24-1106,Require Information about Abortion Pill Reversal
"Hentze, Iris",American Academy of Pediatrics (AAP),Monitoring,01/31/2024,02/29/2024,HB24-1106,Require Information about Abortion Pill Reversal
"Capitol Focus, LLC",HCA-THE HEALTHCARE COMPANY,Monitoring,01/29/2024,01/31/2024,HB24-1106,Require Information about Abortion Pill Reversal
